Reported by,Metric Category,Metric,Sub-Group,Unit of Measure,Comments,Date,Value
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2022-01-01,2.525611
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2022-02-01,1148.942022746431
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2022-02-01,430.8162
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2022-02-01,550.65489225
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2022-02-01,141.25638797193412
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2022-02-01,21.945707524496722
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2022-02-01,1.8384719999999999
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2022-02-01,2.430363
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2022-03-01,1195.8643854243628
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2022-03-01,481.641603
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2022-03-01,540.4553389655173
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2022-03-01,146.67553434374503
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2022-03-01,22.369503115100635
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2022-03-01,2.0698909999999997
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2022-03-01,2.6525149999999997
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2022-04-01,1172.4648089566313
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2022-04-01,485.738702
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2022-04-01,529.888601862069
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2022-04-01,128.93520369083615
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2022-04-01,23.29427840372624
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2022-04-01,2.007173
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2022-04-01,2.60085
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2022-05-01,1433.524399624911
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2022-05-01,533.117943
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2022-05-01,694.3516031724138
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2022-05-01,178.45266643309122
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2022-05-01,22.371346019406108
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2022-05-01,2.152523
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2022-05-01,3.078318
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2022-06-01,1495.3853371717237
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2022-06-01,663.8285559999999
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2022-06-01,666.1258819999999
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2022-06-01,137.23217
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2022-06-01,22.577275171723944
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2022-06-01,2.389427
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2022-06-01,3.232027
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2022-07-01,1514.5570012999183
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2022-07-01,649.234699
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2022-07-01,676.9720649999999
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2022-07-01,160.056017
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2022-07-01,22.919184299918463
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2022-07-01,2.265938
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2022-07-01,3.109098
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2022-08-01,1413.6322837057974
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2022-08-01,611.780845
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2022-08-01,613.729966
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2022-08-01,159.04261599999998
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2022-08-01,23.42732770579753
